Date,Open,High,Low,Close,Adj Close,Volume
7/22/2019,268,268.200012,264,264.399994,251.469803,13516960
7/23/2019,265.5,271.700012,265,270.649994,257.414154,14396986
7/24/2019,270.299988,273.350006,267.899994,270.850006,257.604401,12072603
7/25/2019,271,272.5,266.899994,267.850006,254.751099,17669912
7/26/2019,268.75,271,266.899994,270.399994,257.176392,4788040
7/29/2019,270,271.149994,266.5,267.75,254.655991,5525308
7/30/2019,268,270.100006,266.549988,268.899994,255.749741,13233351
7/31/2019,268.600006,271.100006,266,270.200012,256.986176,13649764
8/1/2019,270.450012,270.700012,266.5,267.549988,254.465759,5925611
8/2/2019,267.200012,267.200012,263.100006,264.5,251.564926,8890911
8/5/2019,264.399994,264.5,257.649994,259.799988,247.094757,11556743
8/6/2019,258.75,261.5,258.149994,258.899994,246.238785,9408544
8/7/2019,259.049988,259.350006,253.100006,253.649994,241.245529,8489812
8/8/2019,255,258.700012,253,257.75,245.14502,6370866
8/9/2019,258.850006,258.850006,253.5,254.199997,241.768631,9927337
8/13/2019,253.800003,254,244,246.300003,234.254974,20992894
8/14/2019,246.300003,253.600006,244.050003,248.75,236.585159,13809031
8/16/2019,248.75,253.399994,247.399994,253,240.627319,10337358
8/19/2019,253.5,257.299988,250.949997,251.550003,239.24823,12524627
8/20/2019,251.600006,251.949997,245.449997,246.5,234.44519,15000271
8/21/2019,246.699997,246.899994,240.850006,241.449997,229.642151,14736226
8/22/2019,242.199997,246,239,240.050003,228.310623,10513066
8/23/2019,239,239.449997,234.649994,236.100006,224.553802,16440329
8/26/2019,240.699997,243.449997,234.949997,242.5,230.640808,12857092
8/27/2019,243.949997,246.300003,242.699997,245.5,233.494095,14529777
8/28/2019,246.149994,247.649994,243.100006,245.949997,233.922089,8894489
8/29/2019,243.949997,245.449997,240.149994,241.199997,229.404373,11105245
8/30/2019,242.75,247.199997,239.050003,245.649994,233.636749,11772247
9/3/2019,244.449997,244.449997,240.649994,241.550003,229.737274,9546229
9/4/2019,241.600006,244.550003,241.300003,243.25,231.354126,7032392
9/5/2019,242,246.899994,242,244.25,232.305222,8451611
9/6/2019,244.300003,245.850006,243.25,243.899994,231.972336,8704669
9/9/2019,244.649994,246.5,243.199997,245.5,233.494095,9085228
9/11/2019,244.600006,245.449997,243,243.75,231.829681,8968683
9/12/2019,244.300003,245,240,240.75,228.976395,8083759
9/13/2019,241,242.449997,238.600006,239.899994,228.167953,14031943
9/16/2019,239.5,240.850006,238.300003,239.399994,227.692398,7084644
9/17/2019,239.800003,240.100006,236.800003,237.199997,225.599991,10672279
9/18/2019,237.699997,242.300003,234.050003,239.25,227.549744,19956339
9/19/2019,239.949997,239.949997,236.100006,236.699997,225.124451,8483309
9/20/2019,237,248.5,234.300003,238.050003,226.408432,63568127
9/23/2019,250,260.5,249.899994,254.850006,242.386856,52040316
9/24/2019,255,258,253.800003,256,243.480606,17167257
9/25/2019,255.100006,256.25,242.699997,247.550003,235.443848,20597095
9/26/2019,247.300003,251.399994,246.25,250.399994,238.154465,17847616
9/27/2019,250,258,250,252.949997,240.579758,17535666
9/30/2019,254.75,260.799988,249.399994,259.850006,247.142334,20588289
10/1/2019,259.100006,262.450012,255,255.899994,243.385498,15440899
10/3/2019,257.700012,262.149994,256.049988,261.649994,248.854294,12356337
10/4/2019,263,263.899994,255.199997,257.25,244.669479,18085064
10/7/2019,257.5,258,250.699997,251.899994,239.5811,21263568
10/9/2019,251.300003,252.199997,246.300003,247.100006,235.015854,21503869
10/10/2019,247,247.649994,242.649994,243.199997,231.30658,24294966
10/11/2019,243.199997,246.199997,241.100006,243.949997,232.019897,25072193
10/14/2019,245.449997,246.399994,243,244.100006,232.162567,14713799
10/15/2019,245.050003,249.199997,245.050003,247.600006,235.491409,9989191
10/16/2019,247.399994,247.600006,242.149994,243.649994,231.734558,16063295
10/17/2019,244,246.699997,243.850006,245.850006,233.826981,13649598
10/18/2019,246,247.800003,245.100006,246.5,234.44519,12833554
10/22/2019,245,251.100006,244.949997,248.899994,236.727814,18275636
10/23/2019,250.399994,251.949997,249.050003,251.050003,238.77269,12831461
10/24/2019,252.600006,254,247.949997,249.050003,236.870483,16791340
10/25/2019,256.899994,257.200012,247,247.699997,235.586502,32591192
10/29/2019,250.949997,255.100006,249.550003,253.25,240.865097,11937562
10/30/2019,256,264,254.300003,259.399994,246.714325,34291157
10/31/2019,260,262.850006,256.200012,257.649994,245.049911,16654994
11/1/2019,259.350006,263,258.75,261.299988,248.521408,12571588
11/4/2019,262.950012,264.950012,260.049988,260.75,247.998306,7895272
11/5/2019,261,264,258.600006,262.899994,250.043167,10278362
11/6/2019,262.950012,263.799988,260,261.350006,248.56897,8857419
11/7/2019,262.899994,266.299988,262,265.850006,252.848907,14782434
11/8/2019,264.850006,265.450012,260,260.5,247.760544,11899353
11/11/2019,260.600006,262.350006,258.799988,259.450012,246.761902,7245151
11/13/2019,258.899994,259.25,253.149994,253.850006,241.43576,10269356
11/14/2019,254.100006,255.899994,253.25,253.899994,241.483292,8880734
11/15/2019,254.25,255.75,250,250.649994,238.392242,16741465
11/18/2019,251.449997,252.25,248.75,250.75,238.48735,7864919
11/19/2019,251.75,251.800003,248.800003,249.300003,237.108261,12152981
11/20/2019,249.300003,251.300003,246.699997,250.699997,238.439789,9978073
11/21/2019,251.399994,251.399994,245.050003,245.699997,233.684311,10393219
11/22/2019,247.149994,252.649994,246.649994,247.649994,235.53894,16370384
11/25/2019,247.75,248.399994,246.25,247.75,235.634064,10586688
11/26/2019,248.649994,250.399994,247.699997,249.149994,236.965591,19778030
11/27/2019,249.75,250.050003,246.600006,246.949997,234.873184,8841620
11/28/2019,247.300003,247.949997,245.649994,246.699997,234.635406,10992718
11/29/2019,246.75,247.399994,245,246.399994,234.350082,9807979
12/2/2019,246,246.899994,244.550003,244.949997,232.970993,9972664
12/3/2019,244.949997,245.800003,242.649994,244.050003,232.115005,8129241
12/4/2019,243.5,244.050003,242,243.149994,231.259018,11946661
12/5/2019,243.149994,247.5,243.100006,246.949997,234.873184,11265857
12/6/2019,247,247.149994,242.5,243.350006,231.449249,10374270
12/9/2019,243,243.300003,241,241.449997,229.642151,6722758
12/10/2019,241.600006,241.699997,235,235.600006,224.078247,15380232
12/11/2019,235.600006,238.800003,235.600006,237.600006,225.980438,13799825
12/12/2019,238.050003,240.199997,237.600006,238.550003,226.883987,10307052
12/13/2019,240,242.5,239.199997,241.600006,229.784821,8205457
12/16/2019,243,243.399994,236.350006,236.899994,225.314667,12014269
12/17/2019,237.5,241.699997,237.5,241.050003,229.261719,15921196
12/18/2019,240.600006,247.350006,239.75,245.149994,233.161209,17134732
12/19/2019,246.050003,247.899994,243.25,244.350006,232.400345,9339714
12/20/2019,244.350006,245.100006,240.149994,241.149994,229.356827,13958336
12/23/2019,242,242.800003,238.649994,238.899994,227.216858,19082124
12/24/2019,239,240.199997,238.199997,238.75,227.074203,7896150
12/26/2019,238.899994,239.399994,236.350006,236.800003,225.219559,14460325
12/27/2019,237.5,238.449997,236.449997,236.899994,225.314667,8712539
12/30/2019,238,240.899994,237.5,238.199997,226.551086,13173134
12/31/2019,238.550003,238.949997,237.399994,237.699997,226.075546,7142051
1/1/2020,238.600006,238.600006,237.100006,238.100006,226.455994,4208837
1/2/2020,238.199997,240.949997,238.100006,239.850006,228.120407,8402979
1/3/2020,241,241,238,238.5,226.836426,9284478
1/6/2020,237.5,238.300003,235,235.100006,223.602707,7636617
1/7/2020,236.050003,237.899994,234.600006,235.350006,223.840485,8416741
1/8/2020,234,235.800003,233.25,234.199997,222.746704,7043211
1/9/2020,235.600006,236.600006,235.050003,235.800003,224.268463,9452653
1/10/2020,237.600006,238.75,236.800003,238,226.36087,9973746
1/13/2020,238.5,240.5,238.25,239.25,227.549744,12243639
1/14/2020,240.25,243.800003,238.300003,243.25,231.354126,11843444
